course,lng,lat,Estblsh,Age_yrs,Mn_prtc,Mn_vlnt
bevendeandown,-0.106763,50.844613,06/02/2016,3.1,36.4,8.1
,,,,,,
brockwell,-0.109134,51.45374,11/12/2010,8.3,211.2,15.7
,,,,,,
grovelands,-0.114477,51.633282,24/07/2010,8.6,103.2,8.2
,,,,,,
panshanger,-0.118446,51.797469,11/10/2014,4.4,259.6,22.8
,,,,,,
roundshaw,-0.119262,51.351737,18/07/2009,9.7,100.9,11.9
,,,,,,
manorfieldwhittlesey,-0.12598,52.55186,08/09/2018,0.5,81.5,21.2
,,,,,,
allypally,-0.126085,51.594082,03/12/2011,7.3,133.4,10.4
,,,,,,
tootingcommon,-0.146685,51.434708,30/01/2016,3.1,455.3,30.1
,,,,,,
prestonpark,-0.147393,50.839091,20/04/2013,5.9,335.4,24
,,,,,,
claphamcommon,-0.152916,51.457167,24/03/2018,1,455.5,30.7
,,,,,,
oak-hill,-0.156169,51.637517,27/08/2011,7.5,120.1,8.5
,,,,,,
hampsteadheath,-0.16398,51.561732,14/05/2011,7.8,196.1,14
,,,,,,
hovepromenade,-0.165782,50.82318,11/07/2015,3.7,239.5,28.6
,,,,,,
sewerby,-0.167456,54.101734,05/11/2011,7.4,118.2,15.6
,,,,,,
brighton,-0.173635,50.842641,03/11/2007,11.4,319.7,22.7
,,,,,,
tilgate,-0.178614,51.095006,09/06/2012,6.8,374.8,38.2
,,,,,,
stevenage,-0.17996,51.902649,28/05/2016,2.8,251.5,19.4
,,,,,,
banstead,-0.18548,51.305211,16/06/2007,11.7,157.7,17.7
,,,,,,
reigatepriory,-0.208654,51.234622,22/03/2014,5,203.5,19.7
,,,,,,
huntingdon,-0.209341,52.32776,13/04/2013,5.9,232,26.7
,,,,,,
fulhampalace,-0.217752,51.471493,19/10/2013,5.4,299,22.2
,,,,,,
letchworth,-0.222816,51.999883,27/01/2018,1.1,122.7,16.6
,,,,,,
wimbledon,-0.227966,51.442372,06/01/2007,12.2,263.4,15.2
,,,,,,
nonsuch,-0.232816,51.357526,17/09/2011,7.5,405,33.1
,,,,,,
gladstone,-0.235305,51.557916,30/06/2012,6.7,126.1,14.2
,,,,,,
wormwoodscrubs,-0.242515,51.520841,11/06/2011,7.8,51.8,7.9
,,,,,,
ellenbrookfields,-0.254212,51.761835,21/05/2016,2.8,155.9,19.1
,,,,,,
pocket,-0.275214,52.214789,16/06/2018,0.7,189.3,30.7
,,,,,,
richmond,-0.28367,51.454595,20/10/2007,11.4,266.6,16
,,,,,,
gunnersbury,-0.290902,51.49632,29/10/2011,7.4,306.1,21.6
,,,,,,
canonspark,-0.296406,51.612554,08/10/2016,2.4,113.3,13.4
,,,,,,
hull,-0.300837,53.766268,03/04/2010,8.9,338.3,24.3
,,,,,,
peterborough,-0.307201,52.564249,03/08/2013,5.6,427.2,35.2
,,,,,,
olddeerpark,-0.31045,51.464582,21/08/2010,8.6,69.5,8.1
,,,,,,
aldenham,-0.316544,51.64795,20/06/2015,3.7,74.5,9.5
,,,,,,
kingston,-0.317659,51.432876,20/03/2010,9,126.7,9.2
,,,,,,
lancingbeachgreen,-0.323904,50.820611,25/08/2018,0.5,127.6,19.5
,,,,,,
horsham,-0.326071,51.066697,06/09/2014,4.5,330.9,25.9
,,,,,,
molevalley,-0.3303393,51.2482116,17/03/2018,1,272.2,22.4
,,,,,,
bushy,-0.3316014,51.4119721,02/10/2004,14.4,682.8,28.2
,,,,,,
harrow,-0.34417,51.581757,09/05/2015,3.8,145.8,13.1
,,,,,,
osterley,-0.350028,51.489414,31/08/2013,5.5,119.7,11.8
,,,,,,
stalbans,-0.351756,51.750401,14/01/2012,7.2,304.3,18
,,,,,,
worthing,-0.361873,50.811433,11/06/2016,2.8,340.2,25.7
,,,,,,
crane,-0.376196,51.443389,09/06/2012,6.8,129.6,12.6
,,,,,,
northalafields,-0.379114,51.537073,21/06/2014,4.7,213.9,24.5
,,,,,,
southoxhey,-0.393126,51.631531,31/01/2015,4.1,47,10.2
,,,,,,
peterpan,-0.40239,53.738532,13/04/2013,5.9,119.2,11.9
,,,,,,
cassiobury,-0.415678,51.65874,28/02/2015,4,298.2,21.2
,,,,,,
lutonwardown,-0.417476,51.894516,18/04/2015,3.9,241.2,27.4
,,,,,,
hazelwood,-0.420635,51.407331,17/03/2018,1,121.2,15.7
,,,,,,
bedfont,-0.446792,51.441704,09/05/2009,9.8,129.6,18.3
,,,,,,
humberbridge,-0.456018,53.71812,07/06/2014,4.8,121.1,13.8
,,,,,,
bedford,-0.464129,52.147395,11/06/2011,7.8,258.6,15.6
,,,,,,
gadebridge,-0.47473,51.7613,02/05/2015,3.9,122.8,18
,,,,,,
rickmansworth,-0.4759097,51.6331291,04/03/2017,2,335.8,21.4
,,,,,,
cranleigh,-0.495715,51.137126,04/10/2014,4.4,74,13.3
,,,,,,
greatdenham,-0.509105,52.12158,17/02/2018,1.1,159,12.2
,,,,,,
houghtonhall,-0.510929,51.901642,23/12/2017,1.2,186,18.4
,,,,,,
homewood,-0.5386627,51.3656581,15/10/2016,2.4,107.1,19.1
,,,,,,
black-park,-0.547814,51.540213,18/07/2009,9.7,382,17.9
,,,,,,
woking,-0.555046,51.311382,16/08/2014,4.6,252.5,21
,,,,,,
lincoln,-0.557642,53.208603,16/11/2013,5.3,310.5,21.2
,,,,,,
guildford,-0.563736,51.246283,10/03/2012,7,282.2,18.3
,,,,,,
uptoncourt,-0.580645,51.498725,24/11/2012,6.3,93.1,10.2
,,,,,,
beltonhouse,-0.618784,52.941367,07/11/2015,3.3,244.4,20.4
,,,,,,
rutlandwater,-0.621414,52.645772,24/10/2015,3.4,194.2,25
,,,,,,
tring,-0.654931,51.784329,01/11/2014,4.4,174.7,21.4
,,,,,,
normanbyhall,-0.6598234,53.6382647,04/11/2017,1.4,219.4,21.6
,,,,,,
scunthorpe,-0.66287,53.580761,23/02/2013,6,300.1,19.1
,,,,,,
bognorregis,-0.668621,50.787693,24/05/2014,4.8,201.5,21.4
,,,,,,
rushmere,-0.67493,51.947466,07/11/2015,3.3,147.2,16.6
,,,,,,
dalbyforest,-0.686914,54.273842,19/03/2016,3,156.3,19.3
,,,,,,
corby,-0.691752,52.493024,21/09/2013,5.5,104.5,19.1
,,,,,,
kettering,-0.707867,52.381795,24/09/2016,2.5,335.7,26.2
,,,,,,
maidenhead,-0.712137,51.510933,21/03/2015,4,245.5,20.9
,,,,,,
wendoverwoods,-0.715715,51.770267,15/09/2018,0.5,123.6,16.1
,,,,,,
miltonkeynes,-0.72084,52.051384,16/01/2010,9.2,355.9,23.4
,,,,,,
frimleylodge,-0.722222,51.293324,13/02/2010,9.1,328.7,29.6
,,,,,,
wycomberye,-0.740418,51.623905,04/08/2012,6.6,271.6,18.6
,,,,,,
rushmoor,-0.760074,51.266131,03/05/2014,4.9,284.6,21.7
,,,,,,
linfordwood,-0.760414,52.0586,16/07/2016,2.7,194.9,22.7
,,,,,,
gainsborough,-0.770776,53.406272,30/05/2015,3.8,35.8,11.6
,,,,,,
bracknell,-0.777712,51.389941,04/04/2015,3.9,299.4,24.3
,,,,,,
chichester,-0.778512,50.843362,02/08/2014,4.6,150.8,16.9
,,,,,,
higginsonmarlow,-0.779557,51.56626,18/08/2018,0.6,191.1,24.7
,,,,,,
newark,-0.822129,53.067678,01/06/2013,5.8,174.6,13.9
